PileusWidthMin	PileusWidthMax	StipeThicknessMin	StipeThicknessMax	SporeWidthMin	SporeWidthMax
6.00	12.00	1.50	3.00	4.00	5.00
6.00 	21.00 	1.00 	3.50 	4.50 	6.00
4.00 	8.00 	1.00 	2.00  	3.00 	4.00 
7.00 	16.00 	3.00 	4.50 	5.50 	6.50
5.00 	12.00 	1.50 	2.50 	4.50 	6.00
5.00 	15.00 	2.00 	4.00 	4.00 	5.50
4.00 	11.00 	0.40 	1.00 	4.00 	5.50
5.00 	10.00 	1.00 	2.00 	3.50 	5.00
2.50 	4.00 	4.00 	7.00  	3.00 	3.50 
2.50 	6.00 	1.00 	1.50  	5.00 	6.00 
4.00 	15.00 	1.50 	2.50 	3.50 	4.00
3.50 	8.00 	1.00 	2.00  	1.00 	2.00 
7.00 	14.00 	1.50 	2.50 	3.00 	4.50
8.00 	20.00 	3.00 	5.00 	4.00 	5.00
2.50 	4.00 	4.00 	7.00  	3.00 	3.50 
5.00 	15.00 	2.50 	3.50 	6.00 	6.50
8.00 	12.00 	1.50 	2.00 	4.50 	5.00
7.00 	19.00 	2.00 	3.50 	3.50 	4.50
2.00 	6.00 	0.40 	0.80  	3.00 	3.50 
6.00 	12.00 	1.50 	2.00 	3.50 	4.00
7.00 	12.00 	2.00 	3.00 	5.00 	5.50
6.00 	14.00 	1.00 	2.00 	3.50 	4.50
6.00 	13.00 	1.50 	2.50 	4.00 	4.50
5.00 	17.00 	1.00 	3.50 	4.00 	5.50
