x	y	
1.736460	3.974791	
-4.566563	-4.589548	
-1.473499	-4.024593	
3.325779	5.053224	
4.241967	3.660347	
-2.846187	-4.108626	
-0.466369	-4.274879	
3.256231	-1.314997	
3.496921	1.863396	
4.826345	-2.094632	
2.026767	-5.154310	
-4.054984	-3.154895	
6.710482	-0.440361	
-0.206030	-4.528500	
0.356954	-6.090579	
2.624287	4.123674	
3.886276	-4.484975	
6.617749	0.006184	
4.646846	0.227179	
4.110624	-2.159940	
2.253713	-4.096038	
-4.471326	-3.182288	
1.369209	5.158474	
6.169284	3.618505	
1.207158	-4.107703	
-3.625396	-6.346252	
-3.771878	-0.808235	
3.116356	-3.094574	
-5.183402	-2.331343	
5.442358	-3.857085	
0.147187	-5.602918	
-0.640578	-4.773394	
4.666767	2.280447	
4.935896	-1.345334	
2.795625	2.680905	
3.543835	-3.248672	
5.940190	-2.197872	
-1.731765	-6.401781	
-3.612344	-4.571762	
-1.041057	-5.739150	
-1.271437	-5.104849	
0.206231	-5.786321	
4.899119	1.336145	
-1.799684	-3.621425	
1.613209	-4.825016	
0.747064	-3.741156	
-3.246508	-4.073205	
5.950604	-1.742853	
3.966511	-1.703991	
-1.121672	-5.217026	
1.947705	4.038677	
4.458390	-2.077945	
6.375205	3.924987	
4.735134	2.516094	
2.268021	2.072200	
2.962645	-4.121559	
5.186693	-1.549956	
-2.692213	-3.612853	
3.537528	-4.167836	
6.442257	-2.635579	
3.417408	-3.617327	
3.100886	-1.614024	
1.756810	5.494488	
3.344485	-1.500639	
3.819495	-1.314628	
2.519276	-3.333753	
-3.332714	-3.222544	
6.244225	-0.213877	
5.361009	-0.875227	
1.284920	-4.332872	
-4.751841	-2.842341	
4.643004	3.210495	
-4.313219	-3.905595	
4.263107	-2.439927	
-3.843991	-2.150259	
4.040575	-4.625076	
-4.445532	-2.430618	
0.411944	-3.550039	
2.718444	-3.514589	
4.440287	-0.339079	
3.466636	-4.906569	
0.513900	-6.065231	
2.878671	-4.190374	
3.940520	-0.424287	
-3.441770	-3.718394	
2.291318	-5.169245	
-1.848794	-2.283435	
-4.419733	-2.759785	
4.916456	2.354135	
5.513982	-0.248920	
1.604924	-3.928358	
5.245201	2.695938	
1.592304	4.135850	
5.924056	1.836233	
5.043308	3.340124	
3.039259	-3.437585	
3.837148	-1.065553	
1.971364	3.535004	
2.245469	3.523847	
5.232951	1.683057	
-4.894473	-2.149975	
-4.970102	-4.614970	
3.440392	3.405411	
-0.456120	-4.620595	
-0.497487	-6.790833	
-5.161915	-2.319264	
3.874816	-1.546498	
-2.350141	-4.690148	
4.519872	1.126036	
-0.320316	-5.994221	
6.384547	2.580027	
1.300826	-3.477948	
1.847348	3.540590	
2.369908	3.590327	
5.829056	-1.729648	
-0.875745	-3.937029	
3.069560	3.855059	
3.682108	4.307015	
-0.724239	-4.916810	
3.559147	-0.968367	
5.103321	-1.255469	
2.932268	4.481291	
-2.079598	-3.139969	
-2.812239	-3.230225	
1.745949	-5.728074	
4.635403	-2.648468	
3.460755	-6.123078	
7.327138	0.509172	
-0.046161	-6.684644	
0.107258	-7.049948	
3.475387	1.766386	
-1.686763	-4.000569	
-4.017247	-4.151371	
-1.199465	-5.312979	
4.879948	2.265846	
4.407270	-1.507371	
3.817602	0.602054	
-4.312044	-3.594830	
2.542976	4.534204	
1.708106	-4.255553	
-3.113527	-2.628194	
-4.526421	-2.513859	
-5.423587	-4.361163	
2.091640	4.079795	
5.800892	-2.368839	
5.708729	-4.088069	
2.789649	-2.884808	
6.159732	-1.347122	
7.409331	0.286300	
0.008250	-4.172568	
3.865811	-2.983638	
-0.332416	-3.577493	
2.802352	-3.351308	
5.288421	-1.532185	
-3.494364	-4.248228	
-3.580100	-3.674810	
-2.397355	-4.554690	
2.595436	4.173964	
-3.833031	-3.449023	
-5.157145	-3.850666	
6.189578	1.459141	
5.823629	1.742759	
2.939810	-7.051988	
3.415686	-4.349117	
-1.351817	-3.914745	
-4.357094	-3.980701	
-4.157454	-2.790073	
-4.672514	-3.631329	
1.894335	-4.815112	
0.336191	-5.021837	
0.039583	-3.808319	
-2.396365	-4.618089	
2.346228	1.190319	
2.612717	2.050082	
-1.171950	-6.786009	
-3.482048	-4.530348	
-0.732598	-3.075616	
-1.380612	-4.159833	
-1.066689	-5.168848	
6.390028	-0.239502	
-1.355527	-3.886176	
-2.184870	-5.180110	
4.599012	-3.018149	
4.354352	0.605338	
-3.980960	-2.533718	
-3.584714	-0.904999	
-0.084474	-5.352455	
4.585070	3.021565	
-3.554490	-2.061180	
4.920162	3.057197	
2.649037	-5.114798	
4.680162	0.548420	
5.587154	0.320114	
5.833627	-0.867167	
2.773240	-2.874818	
0.268585	-2.982396	
4.134174	-3.443223	
-1.917252	-4.702123	
0.373679	-6.139887	
-1.725579	-4.949797	
-5.924916	2.519326	
0.606751	-5.878879	
-1.041268	-6.645093	
4.193959	-4.793892	
-0.447743	-9.107005	
9.315686	-6.917191	
-3.954572	5.535005	
7.280114	0.271573	
-0.275027	2.741610	
6.238653	-4.377611	
-2.089128	-0.905182	
-3.497968	-0.190576	
0.969524	-11.217932	
10.760391	1.044119	
4.861651	-6.510625	
-5.329754	-8.286669	
