x_lower, x_upper, y_lower, y_upper
318,326.4071975563136,252.5522757620195,260
325,336.7992111706562,219.71597882049588,227
337,348.75293608117755,187.88610106299012,199
361,372.45513840982056,163.09225050836375,174
384,392.1789941821336,157.63859940919238,164
403,410.9870730301109,154.27607517120157,161
435,443.06881478213415,145.4511973798934,158
470,481.691649289011,149.45067862161324,158
497,502.16662222240626,156.24266255370213,163
520,527.0177363800952,161.47100016544823,176
535,540.1378765532426,185.4097903774866,198
543,554.1973663026192,208.70275363218897,221
545,558.640030329707,248.5784702252331,262
544,556.6063040235962,288.3815432547108,296
537,542.359917302133,308.5924978998317,322
525,536.3838446624313,336.9018972359587,347
513,521.4846979850912,344.065312726158,357
493,504.2343421173933,355.84446447504524,367
460,471.1265595238959,362.90881925958047,375
433,440.99422225710026,362.7830447054334,375
420,430.0167287261357,368.72176345363624,374
430,435.5245631394399,254.13854100235338,268
429,440.8567683227482,284.07826398596654,290
423,429.163655785132,295.0937012472461,309
412,421.5808749771156,316.2600804413739,322
394,400.64811292877823,331.5242440870449,337
370,379.87344209866006,339.5646740385597,350
341,354.6160184860854,349.02446680120124,356
311,324.17185213406157,343.5506654810527,358
267,272.8692108618429,343.1012175688613,357
246,255.43347470532535,336.36461707191404,345
237,247.84614267895643,322.1122694480181,329
221,234.80816726209906,287.64896234145226,296
218,230.80029630658882,262.27976502398917,268
212,220.76721598355365,213.28562837426875,228
212,221.80669993564877,196.28982622076384,207
219,231.88318602013265,158.03534228802047,168
231,237.33852790460327,124.78988277225145,135
243,252.85566389300777,115.7100800892989,126
266,275.10077526838876,101.63421019469406,116
278,285.63597219504584,99.71052340838511,112
287,298.9227186230278,97.21677445246301,110
296,310.7086043519227,95.17935932709267,109
321,332.4594120803458,104.63974979811978,110
329,337.7002241576091,106.1139766391412,112
425,431.7463893548442,251.45654758552558,266
431,441.2359274022149,259.6649541189743,268
428,433.6224039509929,278.8343917646008,288
423,429.4348790340386,271.7682484883318,280
406,419.5360654981034,306.2745175863075,319
404,416.538946459804,301.4698467159107,316
389,402.40711996344567,324.88236396213637,332
308,313.28726273032674,346.16834540591196,356
216,224.0964447880289,295.31168955720983,310
222,235.17724728432384,316.2609095751732,322
211,223.9285092131599,277.90838033247667,286
209,223.24427163276997,253.94121792386102,268
206,211.13612394198978,238.979236802781,247
205,210.440628817543,216.6911774987348,228
206,215.04036514532774,187.90729246725505,193
214,228.17175018031224,159.4956777794781,165
234,246.45826286523427,114.07410149456564,129
331,341.7438846618905,232.06649222562262,245
332,343.4937920143386,209.82830913385823,224
342,356.0634085095567,196.8036996977123,209
346,358.1682548815998,186.95889774817059,198
355,361.35560185965096,169.84061738565316,183
370,381.5231371334001,163.83679559372163,171
387,394.8941020097598,148.56493238601962,163
415,429.39657402513564,151.75833226194774,163
434,445.1523569276178,150.1426034506053,163
455,461.71677589469596,141.65935945190824,154
484,494.76437472798403,154.08678790184743,161
502,508.0112816404584,164.70675216017617,170
528,533.7717122269271,164.76636625325096,172
545,555.0837005719189,187.38850200423684,198
536,545.4549996999621,208.41198718395572,215
551,556.3933419866305,224.74919156933314,235
555,561.8283025015388,242.9852540045307,253
550,559.102675843224,262.65728836021844,270
551,559.8857574136687,287.3329039727148,299
538,544.0034529058903,307.7353517163769,318
535,549.9877256719544,333.8726522071985,345
514,521.9778868127041,326.56797746325395,335
511,516.1260177414064,359.0535121467526,365
491,504.81125571876703,348.8361330679407,359
475,480.1478322131148,372.12036344856426,380
460,474.42479805447715,351.8343644192171,364
429,442.468227758714,367.80861585081465,379
425,432.85283029489216,349.4636699054311,361
429,437.4167147757181,259.75709611739944,269
394,401.77326308786036,317.3780652240134,323
374,382.5578257409575,341.0774681376235,347
354,363.6107646420071,334.13082392548586,346
310,316.0009898000619,343.88901136751264,357
305,319.24750840847844,334.96616693787666,341
291,302.06405951776003,343.52139169143726,350
249,262.2251617873052,334.49604489787316,346
237,247.22486892832427,296.5802141231755,311
210,219.7451090318801,237.72608961595418,245
214,228.35083008784872,162.8983473689671,175
228,239.08707117472247,131.7387407818218,137
265,275.03488190620055,102.65556056355565,111
321,326.6247988376063,89.00989227143509,104
339,351.9095019907875,99.0178660993844,106
332,342.42989357915957,97.37641716752005,103
306,315.7474395287705,91.59342112096698,104
